Fecha,Hora,Tiempo_Transcurrido_(s),Ping_(ms),%_Paquetes_perdidos,Tiempo_Corte_(ms),Tiempo_de_Fallo_Acumulado_(ms)
15-02-2022,16:14:16,1,33,0%,0,0
15-02-2022,16:14:17,2,33,0%,0,0
15-02-2022,16:14:18,3,29,0%,0,0
15-02-2022,16:14:19,4,47,0%,0,0
15-02-2022,16:14:20,5,43,0%,0,0
15-02-2022,16:14:21,6,40,0%,0,0
15-02-2022,16:14:30,7,42,0%,0,0
15-02-2022,16:14:32,8,36,0%,0,0
15-02-2022,16:14:33,9,41,0%,0,0
15-02-2022,16:14:34,10,46,0%,0,0
15-02-2022,16:14:35,11,44,0%,0,0
15-02-2022,16:14:36,12,32,0%,0,0
15-02-2022,16:14:37,13,41,0%,0,0
15-02-2022,16:14:38,14,54,0%,0,0
15-02-2022,16:14:39,15,42,0%,0,0
15-02-2022,16:14:40,16,52,0%,0,0
15-02-2022,16:14:41,17,46,0%,0,0
15-02-2022,16:14:42,18,43,0%,0,0
15-02-2022,16:14:43,19,52,0%,0,0
15-02-2022,16:14:44,20,48,0%,0,0
15-02-2022,16:14:45,21,46,0%,0,0
15-02-2022,16:14:46,22,40,0%,0,0
15-02-2022,16:14:47,23,38,0%,0,0
15-02-2022,16:14:48,24,49,0%,0,0
15-02-2022,16:14:49,25,35,0%,0,0
15-02-2022,16:14:50,26,48,0%,0,0
15-02-2022,16:14:51,27,54,0%,0,0
15-02-2022,16:14:52,28,37,0%,0,0
15-02-2022,16:14:53,29,34,0%,0,0
15-02-2022,16:14:54,30,39,0%,0,0
15-02-2022,16:14:55,31,38,0%,0,0
15-02-2022,16:14:56,32,35,0%,0,0
15-02-2022,16:14:57,33,73,0%,0,0
15-02-2022,16:14:58,34,39,0%,0,0
15-02-2022,16:14:59,35,35,0%,0,0
15-02-2022,16:15:00,36,44,0%,0,0
15-02-2022,16:15:01,37,46,0%,0,0
15-02-2022,16:15:02,38,52,0%,0,0
15-02-2022,16:15:03,39,31,0%,0,0
15-02-2022,16:15:04,40,35,0%,0,0
15-02-2022,16:15:05,41,37,0%,0,0
15-02-2022,16:15:13,42,54,0%,0,0
15-02-2022,16:15:16,43,57,0%,0,0
15-02-2022,16:15:17,44,49,0%,0,0
15-02-2022,16:15:18,45,63,0%,0,0
15-02-2022,16:15:19,46,43,0%,0,0
15-02-2022,16:15:20,47,60,0%,0,0
15-02-2022,16:15:21,48,41,0%,0,0
15-02-2022,16:15:22,49,41,0%,0,0
15-02-2022,16:15:23,50,42,0%,0,0
15-02-2022,16:15:24,51,35,0%,0,0
15-02-2022,16:15:25,52,64,0%,0,0
15-02-2022,16:15:26,53,39,0%,0,0
15-02-2022,16:15:27,54,46,0%,0,0
15-02-2022,16:15:28,55,41,0%,0,0
15-02-2022,16:15:29,56,34,0%,0,0
15-02-2022,16:15:30,57,40,0%,0,0
15-02-2022,16:15:31,58,33,0%,0,0
15-02-2022,16:15:32,59,35,0%,0,0
15-02-2022,16:15:33,60,39,0%,0,0
15-02-2022,16:15:34,61,41,0%,0,0
15-02-2022,16:15:35,62,50,0%,0,0
15-02-2022,16:15:36,63,38,0%,0,0
15-02-2022,16:15:37,64,37,0%,0,0
15-02-2022,16:15:38,65,37,0%,0,0
15-02-2022,16:15:39,66,29,0%,0,0
15-02-2022,16:15:40,67,35,0%,0,0
15-02-2022,16:15:41,68,31,0%,0,0
15-02-2022,16:15:42,69,37,0%,0,0
15-02-2022,16:15:43,70,38,0%,0,0
15-02-2022,16:15:45,71,50,0%,0,0
15-02-2022,16:15:46,72,39,0%,0,0
15-02-2022,16:15:47,73,38,0%,0,0
