Nombre_de_conexion,Servidor,Duracion_(s),Ping_minimo,Ping_maximo,Ping_Promedio,Jitter,Paquetes_enviados,Paquetes_perdidos
Starlink_Larosa,www.google.com,30,25,51,36.9,5.69,30,0
Starlink_Larosa,www.google.com,10,28,38,33.2,2.33,10,0
Starlink_Larosa,www.emol.cl,15,33,70,48.73,5.79,15,0
Starlink_Larosa,www.google.com,600,0,65,34.67,3.74,600,1
Starlink_Larosa,www.google.com,15,32,53,39.33,8.21,15,0
Starlink_Larosa,www.google.com,50,0,55,35.12,7.81,50,7
Starlink_Larosa,www.google.com,15,28,46,35.4,4.29,15,0
Starlink_Larosa,www.google.com,5,29,38,33.4,6.25,5,0
Starlink_Larosa,www.google.com,50,35,46,41.0,5.4,50,0
Starlink_Larosa,www.google.com,10,31,40,33.7,2.56,10,0
Starlink_Larosa,www.google.com,10,42,61,48.1,6.11,10,0
Starlink_Larosa,www.google.com,10,29,37,33.2,2.67,10,0
Starlink_Larosa,www.google.com,30,31,57,36.63,5.0,30,0
Starlink_Larosa,www.google.com,100,30,37,34.6,3.75,100,0
Starlink_Larosa,www.google.com,100,26,55,36.86,4.25,100,0
Starlink_Larosa,www.google.com,1080,0,99,31.44,3.75,1080,4
Starlink_Larosa,www.google.com,3600,0,96,33.33,4.24,3600,13
Starlink_Larosa,www.google.com,1800,0,96,35.21,4.02,1800,7
Starlink_Larosa,www.google.com,3600,0,99,36.34,6.27,3600,12
Starlink_Larosa,www.google.com,10,34,61,42.0,8.0,10,0
Starlink_Larosa,www.google.com,12,32,51,39.67,10.0,12,0
Starlink_Larosa,www.google.com,10,36,47,39.9,4.89,10,0
Starlink_Larosa,www.google.com,10,31,53,37.8,7.67,10,0
Starlink_Larosa,www.google.com,9223372036854775807,35,52,39.6,8.5,9223372036854775807,0
Starlink_Larosa,www.google.com,9223372036854775807,27,73,41.28,7.93,9223372036854775807,0
